title,body,estimate,labels,assignee
"INIT-001: Initialiser monorepo","Créer la structure Nx (ou monorepo équivalent) avec modules frontend/, backend/, infra/. Acceptance: Repo créé avec README, license, .gitignore. CI minimal (build) passe.",3,"phase1,init,devops","DevOps"
"INIT-002: Templates PR & Issue","Ajouter PR template et issue template (bug/feature) au repo. Acceptance: templates présents et utilisés sur une PR test.",1,"phase1,process,po","PO"
"INIT-003: Conventions & Coding standards","Documenter conventions (formatting, lint rules, commit messages, branch strategy). Acceptance: CONTRIBUTING.md ajouté.",2,"phase1,process,tech","Tech Lead"
"INIT-004: Provisionnement env dev/staging","Provisionner namespace K8s pour dev/staging (ou Docker Compose), secrets skeleton. Acceptance: staging accessible, secrets manager connecté.",5,"phase1,infra,devops","DevOps"
"INIT-005: Esquisser schéma DB initial","Créer diagramme entité (User, Project, Spec, Task, Constitution) et scripts Flyway baseline. Acceptance: migration baseline s'exécute localement.",2,"phase1,db,backend","Backend"
"INFRA-101: CI pipeline PR checks","GitHub Actions PR pipeline: build backend, build frontend, unit tests, lint. Acceptance: PR pipeline vert sur commit de test.",5,"phase1,ci,devops","DevOps"
"INFRA-102: Docker images & publish","Dockerfile pour backend et frontend, publish to registry. Acceptance: images publiées avec tag.",3,"phase1,infra,devops","DevOps"
"AUTH-111: Implémenter endpoint /api/auth/login","Login avec email/password, password hashing (bcrypt/argon2), return access + refresh tokens. Acceptance: tests unitaires et integration valident flow.",5,"phase1,auth,backend","Backend"
"AUTH-112: Implémenter refresh token flow","Endpoint /api/auth/refresh pour renouveler access token. Acceptance: flow refresh testé.",3,"phase1,auth,backend","Backend"
"AUTH-113: RBAC & role model","Add roles (ADMIN, USER, VIEWER) and middleware annotations. Acceptance: endpoints sécurisés par rôle.",3,"phase1,auth,backend","Backend"
"INFRA-103: Provisionnement Postgres staging","Provision Postgres instance for staging, apply Flyway baseline. Acceptance: DB accessible and migrations applied.",2,"phase1,db,devops","DevOps"
"SEC-120: Secrets integration","Integrate GitHub Actions secrets with Vault/managed secrets. Acceptance: CI can pull secrets to run integration tests.",2,"phase1,security,devops","DevOps"
